"country","povertyRate","pop2021"
"Turkmenistan","0.2000","6117.9240"
"China","0.6000","1444216.1070"
"Ukraine","1.3000","43466.8190"
"Kazakhstan","2.5000","18994.9620"
"Sri Lanka","4.1000","21497.3100"
"Morocco","4.8000","37344.7950"
"Algeria","5.5000","44616.6240"
"Malaysia","5.6000","32776.1940"
"Belarus","5.6000","9442.8620"
"Azerbaijan","6","10223.3420"
"Vietnam","6.7000","98168.8330"
"Bhutan","8.2000","779.8980"
"Maldives","8.2000","543.6170"
"Chile","8.6000","19212.3610"
"Uruguay","8.8000","3485.1510"
"Indonesia","9.8000","276361.7830"
"Thailand","9.9000","69950.8500"
"Czech Republic","10.1000","10724.5550"
"Iceland","10.1000","343.3530"
"Mauritius","10.3000","1273.4330"
"Iran","10.9000","85028.7590"
"Finland","11.6000","5548.3600"
"Slovenia","12","2078.7240"
"Canada","12.1000","38067.9030"
"Slovakia","12.2000","5460.7210"
"Hungary","12.3000","9634.1640"
"Australia","12.4000","25788.2150"
"Denmark","12.5000","5813.2980"
"Saudi Arabia","12.7000","35340.6830"
"Solomon Islands","12.7000","703.9960"
"Vanuatu","12.7000","314.4640"
"Russia","12.9000","145912.0250"
"Norway","12.9000","5465.6300"
"Netherlands","13.2000","17173.0990"
"Austria","13.3000","9043.0700"
"France","13.4000","65426.1790"
"Uzbekistan","14.1000","33935.7630"
"Albania","14.3000","2872.9330"
"Turkey","14.4000","85042.7380"
"Switzerland","14.6000","8715.4940"
"Cyprus","14.7000","1215.5840"
"Ireland","14.9000","4982.9070"
"Tunisia","15.2000","11935.7660"
"Poland","15.4000","37797.0050"
"Japan","15.7000","126050.8040"
"Jordan","15.7000","10269.0210"
"Germany","16","83900.4730"
"Belgium","16.4000","11632.3260"
"Israel","16.9000","8789.7740"
"Bosnia and Herzegovina","16.9000","3263.4660"
"Sweden","17.1000","10160.1690"
"Malta","17.1000","442.7840"
"Portugal","17.2000","10167.9250"
"South Korea","17.4000","51305.1860"
"Namibia","17.4000","2587.3440"
"Cambodia","17.7000","16946.4380"
"United States","17.8000","332915.0730"
"Greece","17.9000","10370.7440"
"Laos","18.3000","7379.3580"
"Croatia","18.3000","4081.6510"
"Luxembourg","18.3000","634.8140"
"United Kingdom","18.6000","68207.1160"
"Iraq","18.9000","41179.3500"
"Botswana","19.3000","2397.2410"
"Georgia","19.5000","3979.7650"
"Brazil","19.9000","213993.4370"
"Jamaica","19.9000","2973.4630"
"Peru","20.2000","33359.4180"
"Italy","20.3000","60367.4770"
"Samoa","20.3000","200.1490"
