Country Name,Country Code,Series Name,Series Code,2018 [YR2018]
Albania,ALB,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,4326.33059600216
Andorra,AND,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,..
Argentina,ARG,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,9676.81110681212
Austria,AUT,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,41712.2012661055
Belarus,BLR,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,4975.78581370886
Belgium,BEL,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,39098.0855401263
Belize,BLZ,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,3572.21157984123
Bolivia,BOL,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,2936.95449813964
Brazil,BRA,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,7850.80355128928
British Virgin Islands,VGB,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,..
Canada,CAN,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,37739.0196835102
Channel Islands,CHI,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,..
Chile,CHL,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,12221.5691177737
Colombia,COL,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,5501.39005285462
Costa Rica,CRI,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,10712.7775585369
Croatia,HRV,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,12514.6711108935
Curacao,CUW,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,..
Cyprus,CYP,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,24739.3717546147
Czech Republic,CZE,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,17411.9182938631
Denmark,DNK,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,52447.8442706525
Dominica,DMA,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,6555.31597676849
Dominican Republic,DOM,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,7204.53341888326
Ecuador,ECU,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,4811.20979285605
El Salvador,SLV,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,3257.58567672158
Estonia,EST,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,19074.5806245758
Faroe Islands,FRO,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,..
Finland,FIN,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,40882.3922660699
France,FRA,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,34884.9682973104
Georgia,GEO,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,3867.54537721688
Germany,DEU,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,40263.990413002
Gibraltar,GIB,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,..
Greece,GRC,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,16411.6460414302
Greenland,GRL,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,..
Guatemala,GTM,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,3772.87359108891
Guyana,GUY,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,5835.4449191537
Haiti,HTI,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,1358.244155238
Honduras,HND,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,2156.47373017256
Hungary,HUN,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,13225.6078148571
Iceland,ISL,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,58614.2644783846
Ireland,IRL,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,41915.9997626926
Italy,ITA,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,28888.0534118716
Jamaica,JAM,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,4748.05575965982
Liechtenstein,LIE,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,..
Lithuania,LTU,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,16198.3413944481
