code,area,date,median_salary,life_satisfaction,mean_salary,recycling_pct,population_size,number_of_jobs,area_size,no_of_houses,borough_flag
E09000001,city of london,1999-12-01,33020,,48922,0,6581,,,,1
E09000002,barking and dagenham,1999-12-01,21480,,23620,3,162444,,,,1
E09000003,barnet,1999-12-01,19568,,23128,8,313469,,,,1
E09000004,bexley,1999-12-01,18621,,21386,18,217458,,,,1
E09000005,brent,1999-12-01,18532,,20911,6,260317,,,,1
E09000006,bromley,1999-12-01,16720,,21293,13,294902,,,,1
E09000007,camden,1999-12-01,23677,,30249,13,190003,,,,1
E09000008,croydon,1999-12-01,19563,,22205,13,332066,,,,1
E09000009,ealing,1999-12-01,20580,,25046,12,302252,,,,1
E09000010,enfield,1999-12-01,19289,,21006,9,272731,,,,1
E09000011,greenwich,1999-12-01,21236,,22263,4,212168,,,,1
E09000012,hackney,1999-12-01,23249,,39629,2,199087,,,,1
E09000013,hammersmith and fulham,1999-12-01,25000,,28555,7,160634,,,,1
E09000014,haringey,1999-12-01,18783,,21683,5,218559,,,,1
E09000015,harrow,1999-12-01,20596,,22824,10,207909,,,,1
E09000016,havering,1999-12-01,17165,,18786,8,225712,,,,1
E09000017,hillingdon,1999-12-01,24002,,28854,11,245053,,,,1
E09000018,hounslow,1999-12-01,20155,,24602,14,214298,,,,1
E09000019,islington,1999-12-01,25113,,34180,2,175717,,,,1
E09000020,kensington and chelsea,1999-12-01,20646,,28074,13,147678,,,,1
E09000021,kingston upon thames,1999-12-01,19302,,22967,18,146003,,,,1
E09000022,lambeth,1999-12-01,23151,,27930,8,266817,,,,1
E09000023,lewisham,1999-12-01,20580,,23283,4,250310,,,,1
E09000024,merton,1999-12-01,18962,,21867,11,185062,,,,1
E09000025,newham,1999-12-01,18862,,20580,3,240517,,,,1
E09000026,redbridge,1999-12-01,19580,,22087,8,238138,,,,1
E09000027,richmond upon thames,1999-12-01,22321,,25832,na,172782,,,,1
E09000028,southwark,1999-12-01,22784,,26994,3,247853,,,,1
E09000029,sutton,1999-12-01,19582,,22725,27,179375,,,,1
E09000030,tower hamlets,1999-12-01,26376,,37524,3,193507,,,,1
E09000031,waltham forest,1999-12-01,18547,,19888,9,221057,,,,1
E09000032,wandsworth,1999-12-01,21321,,24707,7,264220,,,,1
E09000033,westminster,1999-12-01,24447,,36167,7,189233,,,,1
E12000001,north east,1999-12-01,16282,,18351,5,2550314,,,,0
E12000002,north west,1999-12-01,16977,,19609,7,6773115,,,,0
E12000003,yorkshire and the humber,1999-12-01,16527,,18977,7,4956325,,,,0
E12000004,east midlands,1999-12-01,16392,,18864,11,4152443,,,,0
E12000005,west midlands,1999-12-01,17000,,19686,9,5271959,,,,0
E12000006,east,1999-12-01,18000,,20866,14,5338722,,,,0
E12000007,london,1999-12-01,22487,,29640,9,7153912,,,,0
E12000008,south east,1999-12-01,18737,,22361,15,7955124,,,,0
E12000009,south west,1999-12-01,16727,,19203,14,4880958,,,,0
E13000001,inner london,1999-12-01,,,-,,2750716,,,,0
E13000002,outer london,1999-12-01,,,-,,4403196,,,,0
E92000001,england,1999-12-01,17939,,21561,10,49032872,,,,0
K02000001,united kingdom,1999-12-01,17803,,21314,,58684427,,,,0
K03000001,great britain,1999-12-01,17866,,21379,,57005421,,,,0
